Date,Cases_roc,Deaths_roc
2020-01-23,0,0
2020-01-24,1,0
2020-01-25,0,0
2020-01-26,1.5,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0.4,0
2020-02-01,0.142857143,0
2020-02-02,0,0
2020-02-03,0.375,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0.090909091,0
2020-02-12,0,0
2020-02-13,0.083333333,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0.153846154,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,2.4,0
2020-02-25,0,0
2020-02-26,0.117647059,0
2020-02-27,0.01754386,0
2020-02-28,0.034482759,0
2020-02-29,0.133333333,0
2020-03-01,0.088235294,0
2020-03-02,0.324324324,5
2020-03-03,0.204081633,0.166666667
2020-03-04,0.262711864,0.571428571
2020-03-05,0.456375839,0.090909091
2020-03-06,0.207373272,0.166666667
2020-03-07,0.534351145,0.214285714
2020-03-08,0.288557214,0.235294118
2020-03-09,0.125482625,0.047619048
2020-03-10,0.644939966,0.272727273
2020-03-11,0.335766423,0.285714286
2020-03-12,0.298204528,0.111111111
2020-03-13,0.310282622,0.175
2020-03-14,0.25149151,0.14893617
2020-03-15,0.283094976,0.166666667
2020-03-16,0.323806802,0.349206349
2020-03-17,0.386226252,0.270588235
2020-03-18,0.212116493,0.092592593
2020-03-19,0.766285494,0.694915254
2020-03-20,0.401978614,0.22
2020-03-21,0.32828309,0.258196721
2020-03-22,0.29984375,0.358306189
2020-03-23,0.317556197,0.335731415
2020-03-24,0.225646055,0.267504488
2020-03-25,0.224095578,0.33427762
2020-03-26,0.274529478,0.28343949
2020-03-27,0.212569779,0.307692308
2020-03-28,0.194851314,0.281467426
2020-03-29,0.160079035,0.217670286
2020-03-30,0.148478805,0.207134171
2020-03-31,0.162768567,0.300537273
2020-04-01,0.133920031,0.228246837
2020-04-02,0.14242731,0.245743115
2020-04-03,0.130553573,0.195916301
2020-04-04,0.120713679,0.186256526
2020-04-05,0.09136709,0.144165576
2020-04-06,0.087800233,0.1210105
2020-04-07,0.08410356,0.186497264
2020-04-08,0.079362524,0.148585274
2020-04-09,0.078610518,0.125825111
2020-04-10,0.072939626,0.123428433
2020-04-11,0.060138762,0.100936189
2020-04-12,0.054933928,0.076092269
2020-04-13,0.045570696,0.068531723
2020-04-14,0.046589932,0.097883373
2020-04-15,0.047196669,0.096550656
2020-04-16,0.049424059,0.162082966
2020-04-17,0.047776209,0.117177057
2020-04-18,0.046435217,0.051423599